name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Andrew Vaughn,So,California,INF,243,0.612,92.583,58.32,1.432,0.613,0.819,0.402,0.417,0.358,0.074,0.181,0.095
Bren Spillane,Jr,Illinois,INF,214,0.596,78.349,48.175,1.436,0.533,0.903,0.389,0.514,0.459,0.266,0.168,0.107
Blake Adams,Sr,Tarleton St.,OF,249,0.568,84.677,49.568,1.315,0.534,0.781,0.39,0.391,0.389,0.12,0.137,0.068
Greg Cullen,Jr,Niagara,INF,218,0.566,73.73,42.992,1.247,0.592,0.655,0.458,0.197,0.5,0.101,0.174,0.018
Luke Reynolds,Jr,Southern Miss.,INF,296,0.56,98.458,56.722,1.25,0.551,0.699,0.389,0.31,0.46,0.176,0.22,0.051
Devlin Granberg,Sr,DBU,OF,312,0.555,102.329,58.337,1.231,0.551,0.68,0.443,0.237,0.493,0.135,0.167,0.042
Jonathan India,Jr,Florida,INF,295,0.538,92.088,50.493,1.239,0.522,0.717,0.35,0.367,0.379,0.19,0.203,0.071
Brandon Michie,Jr,Mercer,INF,163,0.533,50.124,27.141,1.191,0.509,0.682,0.388,0.294,0.457,0.184,0.172,0.049
Andrew Bash,So,California Baptist,P,219,0.528,66.326,35.447,1.225,0.493,0.732,0.399,0.333,0.431,0.178,0.114,0.064
Chase Chambers,Sr,Tennessee Tech,INF,310,0.525,93.022,49.312,1.171,0.519,0.652,0.395,0.257,0.387,0.077,0.158,0.055
Matt Pita,Jr,VMI,INF,257,0.518,75.444,39.207,1.18,0.459,0.721,0.389,0.332,0.404,0.117,0.089,0.054
Adley Rutschman,So,Oregon St.,C,306,0.516,89.259,46.113,1.141,0.513,0.628,0.408,0.22,0.454,0.131,0.173,0.029
Kyle Macdonald,Jr,Arkansas St.,INF,230,0.515,66.877,34.447,1.174,0.509,0.665,0.346,0.319,0.386,0.2,0.17,0.065
Josh Jung,So,Texas Tech,INF,315,0.513,91.006,46.591,1.134,0.495,0.639,0.392,0.247,0.414,0.102,0.124,0.038
Zander Clarke,Jr,UC San Diego,OF,258,0.513,74.538,38.16,1.167,0.477,0.69,0.385,0.305,0.413,0.167,0.089,0.07
Zach Rheams,Sr,Texas Tech,INF,206,0.511,59.132,30.086,1.174,0.461,0.713,0.341,0.372,0.392,0.238,0.17,0.083
Kameron Misner,So,Missouri,INF,155,0.51,44.348,22.493,1.118,0.542,0.576,0.36,0.216,0.432,0.168,0.206,0.026
Spencer Torkelson,Fr,Arizona St.,INF,254,0.509,72.437,36.623,1.2,0.457,0.743,0.32,0.423,0.291,0.173,0.15,0.098
Bryant Packard,So,East Carolina,OF,246,0.508,69.927,35.241,1.151,0.48,0.671,0.406,0.265,0.46,0.187,0.081,0.057
Kody Clemens,Jr,Texas,INF,292,0.507,82.731,41.559,1.185,0.459,0.726,0.351,0.375,0.358,0.171,0.14,0.082
Rafael Ramirez,Jr,Grambling,INF,205,0.507,58.082,29.177,1.189,0.454,0.735,0.353,0.382,0.376,0.21,0.117,0.078
Scott Schreiber,Sr,Nebraska,OF,245,0.505,68.959,34.414,1.161,0.469,0.692,0.369,0.323,0.404,0.196,0.114,0.073
Joey Bart,Jr,Georgia Tech,C,266,0.505,74.87,37.364,1.136,0.504,0.632,0.359,0.273,0.417,0.211,0.154,0.06
Grant Wood,Fr,Murray St.,INF,245,0.504,68.731,34.186,1.072,0.518,0.554,0.376,0.178,0.458,0.163,0.204,0.02
Andrew Moritz,Jr,UNC Greensboro,OF,253,0.503,70.74,35.067,1.123,0.486,0.637,0.428,0.209,0.462,0.107,0.111,0.024
Kyle Gray,Jr,West Virginia,INF,237,0.503,66.266,32.849,1.15,0.473,0.677,0.374,0.303,0.408,0.173,0.143,0.059
Chase Strumpf,So,UCLA,INF,278,0.502,77.471,38.273,1.119,0.486,0.633,0.363,0.27,0.427,0.191,0.162,0.043
Ryan Jeffers,Jr,UNCW,C,279,0.501,77.491,38.152,1.137,0.502,0.635,0.315,0.32,0.323,0.158,0.183,0.057
Kyle Hubbuch,Sr,North Ala.,INF,230,0.501,63.881,31.451,1.133,0.522,0.611,0.33,0.281,0.395,0.23,0.209,0.052
Trevor Larnach,Jr,Oregon St.,OF,313,0.5,86.643,42.51,1.125,0.473,0.652,0.348,0.304,0.405,0.211,0.16,0.061
Seth Beer,Jr,Clemson,INF,289,0.498,79.462,38.713,1.133,0.491,0.642,0.301,0.341,0.269,0.125,0.187,0.076
Matt Wallner,So,Southern Miss.,OF,287,0.498,78.912,38.445,1.116,0.498,0.618,0.351,0.267,0.39,0.185,0.167,0.056
David Villar,Jr,South Fla.,INF,268,0.497,73.438,35.65,1.122,0.474,0.648,0.374,0.274,0.446,0.216,0.104,0.045
Francisco Rodriguez,Sr,Tarleton St.,OF,236,0.496,64.45,31.174,1.122,0.466,0.656,0.374,0.282,0.425,0.174,0.097,0.047
Russ Olive,Jr,UMass Lowell,INF,234,0.495,63.686,30.692,1.107,0.466,0.641,0.359,0.282,0.382,0.141,0.137,0.056
Luke Heyer,Sr,Kentucky,INF,243,0.495,66.136,31.873,1.135,0.444,0.691,0.348,0.343,0.383,0.202,0.115,0.074
Gaudencio Lucca,Sr,Texas Southern,INF,252,0.495,68.585,33.053,1.088,0.496,0.592,0.373,0.219,0.429,0.163,0.119,0.036
Andrew Turner,Sr,LIU,INF,207,0.494,56.145,26.958,1.053,0.522,0.531,0.346,0.185,0.44,0.203,0.155,0.024
Rudy Rott,Jr,Ohio,INF,247,0.493,66.765,31.938,1.124,0.47,0.654,0.355,0.299,0.372,0.154,0.121,0.061
Ross Adolph,Jr,Toledo,OF,261,0.493,70.549,33.748,1.121,0.467,0.654,0.322,0.332,0.351,0.18,0.142,0.057
Ross Haffey,Sr,Miami (OH),INF,248,0.493,67.035,32.067,1.122,0.472,0.65,0.315,0.335,0.384,0.246,0.185,0.06
Grant Little,So,Texas Tech,INF,299,0.492,80.542,38.383,1.104,0.462,0.642,0.37,0.272,0.391,0.127,0.134,0.04
Nick Campana,Sr,Hartford,OF,240,0.491,64.426,30.586,1.082,0.471,0.611,0.385,0.226,0.389,0.075,0.092,0.042
Alex Holderbach,Jr,Eastern Ky.,OF,276,0.491,74.09,35.174,1.124,0.467,0.657,0.352,0.305,0.358,0.152,0.145,0.065
Matthew Barefoot,So,Campbell,OF,274,0.49,73.298,34.664,1.074,0.489,0.585,0.364,0.221,0.408,0.139,0.109,0.029
Ryan Ward,Fr,Bryant,OF,270,0.489,71.977,33.907,1.095,0.459,0.636,0.409,0.227,0.399,0.037,0.078,0.03
Justin Dirden,Jr,Southeast Mo. St.,OF,250,0.489,66.645,31.395,1.113,0.448,0.665,0.34,0.325,0.409,0.244,0.12,0.064
